,No._x,Ticker,Company,Sector,Industry,Country,Market Cap_x,P/E_x,Price_x,Change_x,Volume_x,No._y,Market Cap_y,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Price_y,Change_y,Volume_y,No._x,Market Cap_x,P/E_y,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price_x,Change_x,Volume_x,No._y,Market Cap_y,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume_x,Price_y,Change_y,Volume_y,No._x,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume_y,Rel Volume,Price_x,Change_x,Volume_x,No._y,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price_y,Change_y,from Open,Gap,Volume_y
3,3343,HECCU,Hudson Executive Investment Corp.,Financial,Shell Companies,USA,551.69M,-,10.75,0.84%,1713,3343,551.69M,-,-4.10%,-4.50%,-,0.30,0.30,0.00,0.00,-,-,-,-,10.75,0.84%,1713,3343,551.69M,-,-,-,-,1.58,1379.23,-,-,-,-,-,-,10.75,0.84%,1713,3343,551.69M,51.75M,41.40M,-,-,4.00%,-78.66%,0.00%,0.00,7.36K,10.75,0.84%,1713,3343,-1.60%,0.94%,-6.76%,4.98%,-,-5.70%,1.24%,2.08%,-,7.36K,0.23,10.75,0.84%,1713,3343,-,0.30,2.49%,1.45%,-0.86%,-23.77%,10.14%,53.11,10.75,0.84%,0.47%,0.38%,1713
4,3344,HEDJ,WisdomTree Europe Hedged Equity Fund,Financial,Exchange Traded Fund,USA,-,-,76.88,0.59%,79056,3344,-,2.61%,-,-,-,-,-,-,-,-,-,-,-,76.88,0.59%,79056,3344,-,-,-,-,-,-,-,-,-,-,-,-,-,76.88,0.59%,79056,3344,-,-,-,-,-,-,-,-,-,129.59K,76.88,0.59%,79056,3344,1.71%,2.60%,12.68%,16.75%,24.99%,15.96%,0.46%,0.67%,-,129.59K,0.61,76.88,0.59%,79056,3344,-,0.61,1.92%,3.35%,13.58%,0.46%,32.80%,65.95,76.88,0.59%,0.46%,0.13%,79056
5,3345,HEEM,iShares Currency Hedged MSCI Emerging Markets ETF,Financial,Exchange Traded Fund,USA,-,-,33.08,0.67%,13485,3345,-,1.42%,-,-,-,-,-,-,-,-,-,-,-,33.08,0.67%,13485,3345,-,-,-,-,-,-,-,-,-,-,-,-,-,33.08,0.67%,13485,3345,-,-,-,-,-,-,-,-,-,19.32K,33.08,0.67%,13485,3345,1.97%,2.81%,1.74%,10.71%,33.76%,7.65%,0.32%,0.87%,-,19.32K,0.70,33.08,0.67%,13485,3345,-,0.37,2.88%,2.47%,7.90%,-4.94%,37.43%,60.92,33.08,0.67%,0.00%,0.67%,13485
6,3346,HEES,"H&E Equipment Services, Inc.",Industrials,Rental & Leasing Services,USA,1.31B,154.33,35.96,-0.91%,167283,3346,1.31B,3.06%,0.40%,3.40%,1.80%,-,-,5.30,5.30,33.60%,5.80%,0.70%,Apr 27/b,35.96,-0.91%,167283,3346,1.31B,154.33,16.37,4.62,1.13,5.57,4.07,5.40,-137.40%,37.06%,-22.20%,33.40%,2.40%,35.96,-0.91%,167283,3346,1.31B,36.19M,31.86M,4.00%,-1.29%,73.70%,3.26%,2.74%,3.93,221.92K,35.96,-0.91%,167283,3346,-2.92%,-7.49%,7.15%,28.66%,90.26%,20.63%,3.52%,3.62%,1.70,221.92K,0.75,35.96,-0.91%,167283,3346,2.25,1.40,-4.08%,-4.38%,21.97%,-14.07%,119.00%,42.52,35.96,-0.91%,-1.59%,0.69%,167283
7,3347,HEFA,iShares Currency Hedged MSCI EAFE ETF,Financial,Exchange Traded Fund,USA,-,-,34.56,0.39%,186839,3347,-,1.91%,-,-,-,-,-,-,-,-,-,-,-,34.56,0.39%,186839,3347,-,-,-,-,-,-,-,-,-,-,-,-,-,34.56,0.39%,186839,3347,-,-,-,-,-,-,-,-,-,334.09K,34.56,0.39%,186839,3347,1.39%,2.57%,7.98%,13.86%,23.54%,13.41%,0.44%,0.64%,-,334.09K,0.56,34.56,0.39%,186839,3347,-,0.26,2.21%,3.04%,12.32%,0.25%,30.94%,68.09,34.56,0.39%,0.25%,0.15%,186839
8,3348,HEGD,Swan Hedged Equity US Large Cap ETF,Financial,Exchange Traded Fund,USA,-,-,17.89,0.48%,348620,3348,-,-,-,-,-,-,-,-,-,-,-,-,-,17.89,0.48%,348620,3348,-,-,-,-,-,-,-,-,-,-,-,-,-,17.89,0.48%,348620,3348,-,-,-,-,-,-,-,-,-,30.02K,17.89,0.48%,348620,3348,0.65%,0.67%,5.70%,-,-,7.26%,0.42%,0.59%,-,30.02K,11.61,17.89,0.48%,348620,3348,-,0.12,0.72%,1.34%,3.46%,-1.30%,8.78%,59.18,17.89,0.48%,0.36%,0.11%,348620
9,3349,HEI,HEICO Corporation,Industrials,Aerospace & Defense,USA,18.67B,78.29,146.79,1.66%,330772,3349,18.67B,0.11%,7.30%,12.80%,12.80%,4.50,2.70,0.27,0.27,37.90%,19.70%,15.20%,May 25/a,146.79,1.66%,330772,3349,18.67B,78.29,54.31,8.17,11.00,9.33,48.44,51.95,-4.20%,24.16%,17.80%,9.59%,8.50%,146.79,1.66%,330772,3349,18.67B,135.29M,115.24M,5.70%,-0.19%,71.30%,-0.02%,1.37%,4.80,329.97K,146.79,1.66%,330772,3349,4.99%,7.15%,19.02%,13.21%,32.51%,10.87%,1.78%,2.54%,2.40,329.97K,1.00,146.79,1.66%,330772,3349,1.28,3.32,7.31%,9.18%,17.51%,1.23%,58.78%,69.50,146.79,1.66%,1.21%,0.45%,330772
10,3350,HEI-A,HEICO Corporation,Industrials,Aerospace & Defense,USA,11.04B,71.28,136.15,1.89%,232866,3350,11.04B,0.12%,-,-,-,-,-,-,-,-,-,-,-,136.15,1.89%,232866,3350,11.04B,71.28,48.62,-,6.50,8.99,-,-,-9.20%,34.60%,-,-,-,136.15,1.89%,232866,3350,11.04B,81.06M,-,9.83%,0.00%,86.69%,-,-,3.11,179.99K,136.15,1.89%,232866,3350,4.47%,9.13%,18.58%,13.12%,46.95%,16.31%,1.97%,2.79%,-,179.99K,1.29,136.15,1.89%,232866,3350,-,3.29,7.49%,10.37%,22.00%,0.98%,83.74%,69.22,136.15,1.89%,0.85%,1.03%,232866
11,3351,HELE,Helen of Troy Limited,Consumer Defensive,Household & Personal Products,USA,5.07B,21.36,206.61,-0.42%,77494,3351,5.07B,-,11.60%,20.40%,16.20%,1.60,0.80,0.28,0.28,44.20%,13.40%,12.10%,Apr 28/b,206.61,-0.42%,77494,3351,5.07B,21.36,16.37,2.67,2.42,4.07,112.47,23.55,59.60%,8.48%,24.60%,8.00%,8.60%,206.61,-0.42%,77494,3351,5.07B,24.39M,24.23M,0.50%,0.00%,-,2.32%,14.03%,14.26,238.31K,206.61,-0.42%,77494,3351,-4.64%,-4.63%,-8.46%,0.47%,13.90%,-7.01%,2.58%,2.78%,2.60,238.31K,0.33,206.61,-0.42%,77494,3351,0.84,6.12,-5.48%,-5.35%,-3.48%,-22.32%,21.94%,37.74,206.61,-0.42%,-0.46%,0.04%,77494
12,3352,HELX,Franklin Genomic Advancements ETF,Financial,Exchange Traded Fund,USA,-,-,43.97,2.11%,997,3352,-,-,-,-,-,-,-,-,-,-,-,-,-,43.97,2.11%,997,3352,-,-,-,-,-,-,-,-,-,-,-,-,-,43.97,2.11%,997,3352,-,-,-,-,-,-,-,-,-,2.62K,43.97,2.11%,997,3352,1.56%,1.47%,8.03%,8.33%,50.16%,-0.72%,0.59%,1.47%,-,2.62K,0.38,43.97,2.11%,997,3352,-,0.85,4.85%,1.34%,4.86%,-17.77%,57.03%,56.62,43.97,2.11%,-0.21%,2.32%,997
13,3353,HEP,"Holly Energy Partners, L.P.",Energy,Oil & Gas Midstream,USA,2.29B,10.92,21.76,0.37%,100983,3353,2.29B,6.43%,9.60%,54.90%,11.50%,1.30,1.30,3.59,3.59,69.00%,49.10%,42.20%,May 04/b,21.76,0.37%,100983,3353,2.29B,10.92,10.47,0.65,4.60,5.65,115.45,22.43,-24.20%,1.17%,0.00%,16.90%,6.80%,21.76,0.37%,100983,3353,2.29B,105.44M,45.56M,0.10%,0.00%,29.90%,0.50%,2.67%,4.63,262.66K,21.76,0.37%,100983,3353,1.97%,7.24%,17.49%,56.77%,29.91%,53.24%,1.86%,2.47%,2.50,262.66K,0.38,21.76,0.37%,100983,3353,1.11,0.54,1.97%,6.75%,37.35%,-2.07%,107.63%,58.05,21.76,0.37%,-0.41%,0.78%,100983
14,3354,HEPA,"Hepion Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,134.91M,-,1.84,3.95%,1265089,3354,134.91M,-,-40.90%,-48.70%,-,41.10,41.10,0.00,0.00,-,-,-,-,1.84,3.95%,1265089,3354,134.91M,-,-,-,-,0.83,1.17,-,65.60%,-45.70%,64.10%,-,-,1.84,3.95%,1265089,3354,134.91M,76.23M,62.65M,0.10%,115.93%,23.70%,99.60%,1.99%,0.37,3.34M,1.84,3.95%,1265089,3354,10.84%,12.88%,-1.08%,15.72%,-14.02%,-15.98%,4.58%,5.87%,2.00,3.34M,0.38,1.84,3.95%,1265089,3354,1.13,0.09,11.52%,6.53%,-22.87%,-61.90%,26.90%,62.00,1.84,3.95%,2.79%,1.13%,1265089
15,3355,HEQ,John Hancock Hedged Equity & Income Fund,Financial,Closed-End Fund - Equity,USA,158.91M,-,13.00,0.08%,68418,3355,158.91M,8.92%,-,-,-,-,-,-,-,-,-,-,-,13.00,0.08%,68418,3355,158.91M,-,-,-,-,-,-,-,-,-,-,-,-,13.00,0.08%,68418,3355,158.91M,12.22M,-,0.13%,0.00%,38.60%,-,-,-,54.20K,13.00,0.08%,68418,3355,1.77%,4.33%,9.98%,14.54%,10.36%,13.64%,0.96%,1.08%,-,54.20K,1.26,13.00,0.08%,68418,3355,-,0.14,2.57%,4.83%,13.18%,-0.15%,33.74%,69.37,13.00,0.08%,0.08%,0.00%,68418
16,3356,HERA,FTAC Hera Acquisition Corp.,Financial,Shell Companies,USA,-,-,9.77,-0.10%,12932,3356,-,-,-,-,-,-,-,-,-,-,-,-,-,9.77,-0.10%,12932,3356,-,-,-,-,-,-,-,-,-,-,-,-,-,9.77,-0.10%,12932,3356,-,-,-,-,-,-,-,-,0.77,48.19K,9.77,-0.10%,12932,3356,0.31%,-0.25%,-,-,-,-1.61%,0.26%,0.28%,-,48.19K,0.27,9.77,-0.10%,12932,3356,-,0.05,0.11%,-0.11%,-0.11%,-2.20%,0.88%,-,9.77,-0.10%,-0.31%,0.20%,12932
17,3357,HERAU,FTAC Hera Acquisition Corp.,Financial,Shell Companies,USA,-,-,10.01,-0.05%,15886,3357,-,-,-,-,-,-,-,-,-,-,-,-,-,10.01,-0.05%,15886,3357,-,-,-,-,-,-,-,-,-,-,-,-,-,10.01,-0.05%,15886,3357,-,-,-,2.80%,-,89.69%,-,-,0.00,662.35K,10.01,-0.05%,15886,3357,0.11%,-0.28%,0.25%,-,-,0.25%,0.34%,0.37%,-,662.35K,0.02,10.01,-0.05%,15886,3357,-,0.04,-0.02%,-0.10%,-0.24%,-2.68%,1.06%,48.31,10.01,-0.05%,-0.25%,0.20%,15886
18,3358,HERO,Global X Video Games & Esports ETF,Financial,Exchange Traded Fund,USA,-,-,32.23,1.83%,146039,3358,-,0.68%,-,-,-,-,-,-,-,-,-,-,-,32.23,1.83%,146039,3358,-,-,-,-,-,-,-,-,-,-,-,-,-,32.23,1.83%,146039,3358,-,-,-,-,-,-,-,-,-,288.58K,32.23,1.83%,146039,3358,0.22%,2.06%,2.61%,13.50%,55.19%,3.80%,1.16%,1.61%,-,288.58K,0.51,32.23,1.83%,146039,3358,-,0.56,3.31%,1.08%,6.29%,-13.43%,57.08%,55.63,32.23,1.83%,1.32%,0.51%,146039
19,3359,HES,Hess Corporation,Energy,Oil & Gas E&P,USA,26.99B,-,88.92,1.62%,1276769,3359,26.99B,1.12%,-2.10%,-7.00%,-18.00%,2.10,2.00,1.51,1.51,77.10%,7.30%,-7.80%,Apr 28/b,88.92,1.62%,1276769,3359,26.99B,-,29.43,-,5.18,4.84,14.46,29.30,-641.90%,109.79%,0.90%,-,-6.40%,88.92,1.62%,1276769,3359,26.99B,305.80M,276.12M,0.40%,-68.55%,86.90%,1.77%,2.40%,2.99,2.22M,88.92,1.62%,1276769,3359,4.38%,9.85%,18.50%,81.06%,69.44%,68.44%,2.16%,3.09%,2.20,2.22M,0.58,88.92,1.62%,1276769,3359,2.21,2.74,6.26%,16.07%,53.31%,-0.13%,155.37%,66.48,88.92,1.62%,0.35%,1.27%,1276769
0,3360,HESM,Hess Midstream LP,Energy,Oil & Gas Midstream,USA,7.46B,18.31,25.82,0.90%,108942,3360,7.46B,7.01%,0.80%,18.50%,28.00%,1.20,1.20,10.25,10.32,-,55.60%,2.40%,Apr 28/b,25.82,0.90%,108942,3360,7.46B,18.31,14.60,1.63,6.84,2.71,4972.24,19.37,8.90%,7.93%,-17.90%,11.26%,14.10%,25.82,0.90%,108942,3360,7.46B,24.97M,24.37M,0.70%,-78.00%,68.90%,3.11%,1.74%,1.62,261.86K,25.82,0.90%,108942,3360,1.33%,15.78%,14.00%,33.64%,36.47%,31.94%,2.66%,2.70%,2.00,261.86K,0.42,25.82,0.90%,108942,3360,2.23,0.63,6.79%,11.73%,28.22%,-0.31%,77.34%,67.40,25.82,0.90%,0.62%,0.27%,108942
1,3361,HEWG,iShares Currency Hedged MSCI Germany ETF,Financial,Exchange Traded Fund,USA,-,-,33.49,0.49%,52853,3361,-,2.27%,-,-,-,-,-,-,-,-,-,-,-,33.49,0.49%,52853,3361,-,-,-,-,-,-,-,-,-,-,-,-,-,33.49,0.49%,52853,3361,-,-,-,-,-,-,-,-,-,64.68K,33.49,0.49%,52853,3361,1.94%,3.50%,10.61%,16.29%,21.79%,14.58%,0.36%,0.55%,-,64.68K,0.82,33.49,0.49%,52853,3361,-,0.27,2.33%,2.97%,12.15%,0.37%,34.13%,64.48,33.49,0.49%,0.28%,0.21%,52853
2,3362,HEWJ,iShares Currency Hedged MSCI Japan ETF,Financial,Exchange Traded Fund,USA,-,-,39.15,0.54%,264145,3362,-,1.15%,-,-,-,-,-,-,-,-,-,-,-,39.15,0.54%,264145,3362,-,-,-,-,-,-,-,-,-,-,-,-,-,39.15,0.54%,264145,3362,-,-,-,-,-,-,-,-,-,197.17K,39.15,0.54%,264145,3362,1.82%,2.38%,3.12%,11.25%,24.29%,9.14%,0.50%,0.67%,-,197.17K,1.34,39.15,0.54%,264145,3362,-,0.38,2.98%,2.05%,9.91%,-1.14%,33.16%,62.55,39.15,0.54%,0.18%,0.36%,264145
3,3363,HEWU,iShares Currency Hedged MSCI United Kingdom ETF,Financial,Exchange Traded Fund,USA,-,-,23.00,0.11%,2718,3363,-,2.57%,-,-,-,-,-,-,-,-,-,-,-,23.00,0.11%,2718,3363,-,-,-,-,-,-,-,-,-,-,-,-,-,23.00,0.11%,2718,3363,-,-,-,-,-,-,-,-,-,0.88K,23.00,0.11%,2718,3363,0.80%,0.98%,7.92%,11.28%,13.66%,12.09%,0.29%,0.31%,-,0.88K,3.09,23.00,0.11%,2718,3363,-,0.13,0.64%,2.35%,10.70%,-0.48%,29.80%,58.78,23.00,0.11%,0.44%,-0.33%,2718
4,3364,HEXO,HEXO Corp.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,818.76M,-,6.69,-3.18%,3461804,3364,818.76M,-,-,-,-,-,-,-,-,-,-,-,Mar 18/b,6.69,-3.18%,3461804,3364,818.76M,-,-,-,7.34,1.51,-,-,-,-,-,-,-,6.69,-3.18%,3461804,3364,818.76M,122.39M,116.05M,5.20%,0.00%,14.58%,-,9.42%,3.01,3.63M,6.69,-3.18%,3461804,3364,2.45%,-5.37%,4.21%,42.95%,129.11%,81.79%,7.39%,6.03%,-,3.63M,0.95,6.69,-3.18%,3461804,3364,-,0.44,4.11%,6.44%,33.42%,-39.40%,188.36%,53.48,6.69,-3.18%,-4.43%,1.30%,3461804
5,3365,HEZU,iShares Currency Hedged MSCI Eurozone ETF,Financial,Exchange Traded Fund,USA,-,-,36.41,0.39%,198299,3365,-,2.06%,-,-,-,-,-,-,-,-,-,-,-,36.41,0.39%,198299,3365,-,-,-,-,-,-,-,-,-,-,-,-,-,36.41,0.39%,198299,3365,-,-,-,-,-,-,-,-,-,239.25K,36.41,0.39%,198299,3365,1.39%,3.12%,11.35%,15.81%,28.02%,16.74%,0.43%,0.68%,-,239.25K,0.83,36.41,0.39%,198299,3365,-,0.30,2.23%,3.70%,14.95%,0.08%,39.13%,67.50,36.41,0.39%,0.22%,0.17%,198299
6,3366,HFBL,"Home Federal Bancorp, Inc. of Louisiana",Financial,Banks - Regional,USA,57.81M,11.97,17.95,4.08%,750,3366,57.81M,1.84%,0.90%,10.00%,24.40%,-,-,0.00,0.00,-,79.80%,24.70%,-,17.95,4.08%,750,3366,57.81M,11.97,-,-,2.79,1.11,0.57,-,-14.50%,-,5.30%,-,6.60%,17.95,4.08%,750,3366,57.81M,3.22M,2.22M,6.00%,0.05%,15.60%,-3.83%,0.01%,0.10,2.62K,17.95,4.08%,750,3366,0.03%,10.49%,22.81%,52.80%,11.90%,24.33%,0.29%,2.22%,-,2.62K,0.29,17.95,4.08%,750,3366,0.60,0.54,5.23%,10.32%,29.25%,-13.48%,61.38%,57.87,17.95,4.08%,4.08%,0.00%,750
7,3367,HFC,HollyFrontier Corporation,Energy,Oil & Gas Refining & Marketing,USA,5.69B,-,35.73,2.09%,3592657,3367,5.69B,3.92%,-1.30%,-2.90%,-5.40%,2.10,1.20,0.59,0.00,22.50%,-0.50%,-1.40%,May 05/b,35.73,2.09%,3592657,3367,5.69B,-,10.66,-,0.50,1.10,4.76,212.93,-180.80%,672.35%,-24.20%,-6.61%,-3.30%,35.73,2.09%,3592657,3367,5.69B,162.48M,161.51M,0.20%,8.09%,90.10%,1.39%,5.56%,2.93,3.06M,35.73,2.09%,3592657,3367,8.27%,3.03%,-10.61%,36.22%,3.81%,38.22%,4.66%,4.08%,3.00,3.06M,1.17,35.73,2.09%,3592657,3367,1.76,1.55,3.59%,1.72%,24.64%,-15.71%,112.55%,54.88,35.73,2.09%,0.73%,1.34%,3592657
8,3368,HFFG,HF Foods Group Inc.,Consumer Defensive,Food Distribution,USA,309.43M,-,5.93,-0.50%,102596,3368,309.43M,-,-0.30%,-0.60%,-85.80%,1.30,0.60,0.36,0.48,18.30%,-0.70%,-0.30%,-,5.93,-0.50%,102596,3368,309.43M,-,-,-,0.56,1.17,27.38,8.84,-,-,-,-,-,5.93,-0.50%,102596,3368,309.43M,51.91M,37.43M,27.90%,0.00%,14.60%,0.45%,7.36%,22.86,120.48K,5.93,-0.50%,102596,3368,-4.97%,3.13%,-18.43%,-21.35%,-16.60%,-21.14%,4.01%,7.06%,-,120.48K,0.85,5.93,-0.50%,102596,3368,1.52,0.36,-2.92%,-9.59%,-19.09%,-44.73%,16.05%,43.56,5.93,-0.50%,-1.50%,1.01%,102596
9,3369,HFRO,Highland Funds I - Highland Income Fund,Financial,Asset Management,USA,853.35M,-,11.96,0.42%,111164,3369,853.35M,7.69%,-,-,-,-,-,-,-,-,-,-,-,11.96,0.42%,111164,3369,853.35M,-,-,-,-,-,-,-,-,-,-,-,-,11.96,0.42%,111164,3369,853.35M,71.35M,-,-,-,51.38%,-,-,-,298.93K,11.96,0.42%,111164,3369,1.53%,5.75%,11.78%,30.43%,37.95%,16.34%,1.47%,1.45%,-,298.93K,0.37,11.96,0.42%,111164,3369,-,0.16,3.67%,5.10%,20.40%,-0.17%,59.89%,71.28,11.96,0.42%,0.42%,0.00%,111164
10,3370,HFWA,Heritage Financial Corporation,Financial,Banks - Regional,USA,1.04B,17.44,28.81,-0.38%,98790,3370,1.04B,2.78%,0.90%,7.40%,23.00%,-,-,0.03,0.03,-,94.30%,27.70%,Apr 22/b,28.81,-0.38%,98790,3370,1.04B,17.44,17.96,2.49,4.82,1.25,1.10,36.31,-29.50%,-24.02%,0.60%,7.00%,9.60%,28.81,-0.38%,98790,3370,1.04B,35.93M,35.31M,1.60%,-3.46%,83.30%,0.82%,4.05%,13.20,108.30K,28.81,-0.38%,98790,3370,-0.55%,1.95%,0.98%,20.39%,45.58%,23.17%,2.24%,2.79%,2.80,108.30K,0.91,28.81,-0.38%,98790,3370,0.79,0.75,0.39%,1.44%,17.83%,-6.64%,67.97%,51.74,28.81,-0.38%,-0.03%,-0.35%,98790
11,3371,HFXI,IQ 50 Percent Hedged FTSE International ETF,Financial,Exchange Traded Fund,USA,-,-,25.40,0.66%,5820,3371,-,1.93%,-,-,-,-,-,-,-,-,-,-,-,25.40,0.66%,5820,3371,-,-,-,-,-,-,-,-,-,-,-,-,-,25.40,0.66%,5820,3371,-,-,-,-,-,-,-,-,-,24.10K,25.40,0.66%,5820,3371,1.67%,3.41%,8.30%,14.53%,28.79%,11.96%,0.55%,0.63%,-,24.10K,0.24,25.40,0.66%,5820,3371,-,0.23,2.53%,3.69%,12.81%,-0.17%,34.87%,66.32,25.40,0.66%,0.70%,-0.04%,5820
12,3372,HGBL,Heritage Global Inc.,Financial,Capital Markets,USA,97.01M,8.88,2.70,-0.74%,38391,3372,97.01M,-,31.90%,46.90%,32.50%,2.80,2.70,0.00,0.00,63.80%,24.30%,36.70%,May 13/a,2.70,-0.74%,38391,3372,97.01M,8.88,9.09,-,3.35,3.03,6.10,28.53,121.70%,50.76%,22.90%,-,8.50%,2.70,-0.74%,38391,3372,97.01M,34.79M,27.10M,8.20%,-16.80%,27.80%,19.96%,0.07%,0.20,90.94K,2.70,-0.74%,38391,3372,-3.23%,-10.37%,-12.34%,54.29%,92.86%,1.50%,5.00%,4.42%,1.70,90.94K,0.42,2.70,-0.74%,38391,3372,1.25,0.12,-7.28%,-8.93%,0.88%,-35.71%,92.86%,34.32,2.70,-0.74%,0.00%,-0.74%,38391
13,3373,HGEN,"Humanigen, Inc.",Healthcare,Biotechnology,USA,1.08B,-,18.58,1.86%,885558,3373,1.08B,-,-202.30%,-356.10%,-193.80%,1.90,1.90,1.44,0.00,-,-,-,-,18.58,1.86%,885558,3373,1.08B,-,4.34,-,1347.05,58.06,11.60,-,-426.20%,4.18%,43.70%,12.50%,-,18.58,1.86%,885558,3373,1.08B,52.66M,40.24M,33.10%,-6.97%,38.60%,74.69%,22.97%,3.10,2.98M,18.58,1.86%,885558,3373,-18.29%,-2.31%,22.16%,105.99%,31.77%,6.17%,8.42%,7.93%,1.70,2.98M,0.30,18.58,1.86%,885558,3373,-2.32,1.62,-2.74%,4.81%,22.34%,-45.27%,147.73%,48.99,18.58,1.86%,2.88%,-0.99%,885558
14,3374,HGLB,Highland Global Allocation Fund,Financial,Asset Management,USA,202.50M,-,9.23,0.54%,78363,3374,202.50M,9.21%,-,-,-,-,-,-,-,-,-,-,-,9.23,0.54%,78363,3374,202.50M,-,-,-,-,-,-,-,-,-,-,-,-,9.23,0.54%,78363,3374,202.50M,21.94M,-,15.66%,0.00%,17.40%,-,-,0.07,189.92K,9.23,0.54%,78363,3374,2.56%,6.46%,22.74%,48.15%,37.45%,41.35%,1.72%,2.08%,-,189.92K,0.41,9.23,0.54%,78363,3374,-,0.19,4.36%,8.82%,32.23%,0.00%,90.31%,76.91,9.23,0.54%,0.00%,0.54%,78363
15,3375,HGSH,China HGS Real Estate Inc.,Real Estate,Real Estate - Development,China,46.20M,10.82,2.10,2.44%,204014,3375,46.20M,-,1.20%,2.60%,-1.10%,-,-,0.66,0.00,23.80%,7.50%,14.80%,-,2.10,2.44%,204014,3375,46.20M,10.82,-,-,1.56,0.27,77.00,-,-73.50%,-,-34.00%,-,-30.00%,2.10,2.44%,204014,3375,46.20M,22.52M,6.79M,86.60%,0.00%,0.90%,360.47%,0.09%,0.01,607.99K,2.10,2.44%,204014,3375,7.69%,-2.78%,22.81%,44.83%,118.80%,17.98%,7.55%,11.83%,-,607.99K,0.34,2.10,2.44%,204014,3375,1.26,0.19,9.57%,1.63%,18.58%,-61.11%,147.06%,54.72,2.10,2.44%,3.96%,-1.46%,204014
16,3376,HGV,Hilton Grand Vacations Inc.,Consumer Cyclical,Resorts & Casinos,USA,3.92B,-,46.08,0.55%,268302,3376,3.92B,-,-6.40%,-48.30%,-7.20%,-,-,5.02,5.02,13.20%,-33.20%,-27.80%,Apr 29/b,46.08,0.55%,268302,3376,3.92B,-,13.57,-,5.04,10.62,9.80,47.81,-197.40%,138.08%,-27.30%,11.54%,-9.50%,46.08,0.55%,268302,3376,3.92B,85.00M,84.56M,1.30%,-10.09%,99.90%,1.75%,7.20%,6.37,954.52K,46.08,0.55%,268302,3376,0.15%,3.85%,13.64%,65.46%,90.02%,46.99%,2.21%,3.19%,2.70,954.52K,0.28,46.08,0.55%,268302,3376,2.30,1.42,2.53%,8.68%,43.23%,-4.32%,150.98%,59.59,46.08,0.55%,0.04%,0.50%,268302
17,3377,HHC,The Howard Hughes Corporation,Real Estate,Real Estate - Diversified,USA,5.93B,184.08,107.50,-0.10%,260536,3377,5.93B,-,0.40%,0.90%,-1.80%,-,-,1.19,1.20,45.90%,-9.30%,4.50%,May 10/a,107.50,-0.10%,260536,3377,5.93B,184.08,35.25,9.20,8.30,1.63,6.08,-,-129.20%,523.60%,-16.70%,20.00%,-2.60%,107.50,-0.10%,260536,3377,5.93B,55.68M,54.69M,0.40%,-,94.00%,-1.60%,1.95%,5.01,212.40K,107.50,-0.10%,260536,3377,3.62%,0.35%,16.48%,41.91%,76.81%,36.20%,2.30%,2.43%,1.70,212.40K,1.23,107.50,-0.10%,260536,3377,1.54,2.58,2.16%,4.11%,29.97%,-5.04%,130.19%,56.53,107.50,-0.10%,0.32%,-0.42%,260536
18,3378,HHR,HeadHunter Group PLC,Industrials,Staffing & Employment Services,Russia,1.86B,62.07,37.12,0.27%,302949,3378,1.86B,1.48%,14.30%,71.10%,18.00%,0.70,0.70,1.79,1.92,68.90%,37.60%,25.00%,May 27/b,37.12,0.27%,302949,3378,1.86B,62.07,24.71,84.68,14.88,31.19,28.09,33.32,17.10%,38.69%,6.70%,0.73%,21.70%,37.12,0.27%,302949,3378,1.86B,50.33M,16.30M,13.89%,0.00%,50.50%,0.83%,0.49%,0.55,144.87K,37.12,0.27%,302949,3378,-8.14%,-11.87%,13.34%,48.36%,70.67%,22.71%,3.92%,4.26%,2.40,144.87K,2.09,37.12,0.27%,302949,3378,-,2.05,-6.42%,-2.66%,24.30%,-14.69%,95.37%,41.17,37.12,0.27%,0.46%,-0.19%,302949
19,3379,HI,"Hillenbrand, Inc.",Industrials,Specialty Industrial Machinery,USA,3.42B,20.21,45.73,0.70%,293726,3379,3.42B,1.88%,4.30%,15.30%,0.80%,1.40,1.00,1.00,1.00,34.70%,13.50%,6.30%,May 04/a,45.73,0.70%,293726,3379,3.42B,20.21,12.54,1.62,1.26,2.84,9.91,7.24,-142.70%,2.04%,-19.80%,12.50%,9.50%,45.73,0.70%,293726,3379,3.42B,75.50M,74.57M,0.60%,-11.43%,88.90%,2.09%,1.59%,3.33,355.20K,45.73,0.70%,293726,3379,-0.50%,-0.65%,-8.19%,19.59%,64.02%,14.90%,2.62%,2.65%,1.50,355.20K,0.83,45.73,0.70%,293726,3379,1.55,1.26,-0.19%,-4.30%,13.66%,-13.46%,86.65%,46.08,45.73,0.70%,0.46%,0.24%,293726
